"","id","wls_cw_sysid","cw_code","cw_name","cw_source_name","cw_source_type","pod_number","cw_legislation","cw_date_created","cw_status","organization","organization_count","organization_type","water_system_name","cw_use","source_category","source_comments","water_treatment_type","water_treatment_location","connections_count","connected_cw_name","connected_cw_pod_number","natural_resource_district","health_authority","cw_assessment_ind","cw_assessment_url","water_qlty_obj_status","water_qlty_obj_overvw_rpt_url","water_qlty_obj_tech_rpt_url","water_qlty_obj_rpt_year","water_qlty_obj_type","organization_concerns","waterworks_damage","general_comments","feature_area_sqm","feature_length_m","objectid","se_anno_cad_data","watershed_area","og_watershed_area","prot_og_watershed_area","og_percentage","prot_percentage","at_risk_area","perc_at_risk"
"78","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f70",94,"340.032","Davis Community Watershed","Davis Creek","GW","PD24907","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Kootenay Southwest Parks",0,"None",NA,"OTHER SOURCE","GW","GW - BC parks used manages this water system and they have drilled a well",NA,"NOT SPECIFIED",0,NA,NA,"Selkirk Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8533","Not completed by 2019",NA,NA,0,NA,NA,NA,"This community watershed is part of the Kootenay Lake Provincial Park. The campground transitioned to a groundwater source.",62907194.7987,40372.043,75822,NA,6290.71947986939,1318.6928403894,173,20.96,2.75,1145.6928403894,18.21
"79","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f6f",95,"310.072","Vernon Community Watershed","Vernon Creek","CR","PD58688","Forest Practices Code",1995-06-15,"DESIGNATED","Okanagan Indian Band, District of Lake Country",1,"Waterworks",NA,"OTHER SOURCE","Unknown","NA","NA","NA",0,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8360","Not completed by 2019",NA,NA,0,NA,"Forestry roads",NA,"This creek appears to be used by the District of Lake Country and the Okangan Indian Band. There are a signficant number of waterworks licenses on this creek to the District on PD58685 at the outlet of the watershed. There is no water system on this creek for PD 58688 (current POD in CW database)",85678890.8212,49439.3286,75823,NA,8567.88908211998,846.095492482086,160.202744572544,9.88,1.87,685.892747909542,8.01
"80","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f6e",96,"310.030","Klim Community Watershed","Klim Brook","BR","PD59890","Forest Practices Code",1995-06-15,"DESIGNATED","Klim Brook Water Users Community",1,"Water Users' Community",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",15,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"15 current domestic water licenses associated with this POD",43353.6434,956.738,75824,NA,4.33536434374899,0,0,0,0,0,0
"81","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f6d",97,"GRA.001","Honna River Community Watershed","Honna River","R","PD35919","Forest Practices Code",1995-06-15,"DESIGNATED","Village of Queen Charlotte",1,"Waterworks","Honna Water Treatment System","PRIMARY","SW","SW","Disinfection x2 & DAF & filtration","TREATMENT FACILITY",425,NA,NA,"Haida Gwaii Natural Resource District","Northern","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=9295","Not completed by 2019",NA,NA,0,NA,"Forestry","Yes","The Village of Queen Charlotte was unable to meet potable water demands from existing well productions due to salt water intrusion and elevated manganese. Honna River was developed as a new surface water source, but required treatment to address variability in water quality and flow.  The village commissioned the plant in May 2010. The plant has a capacity of 8 L/s (690m3/day) and a 25 year design life.

",47341401.7631,37044.9419,75825,NA,4734.14017631449,1176.29049562099,1.67726333536077,24.85,0.04,1174.61323228563,24.81
"82","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f6c",98,"310.057","Shingle Community Watershed","Shingle Creek","CR","PD54917","Forest Practices Code",1995-06-15,"DESIGNATED","Penticton Indian Band",1,"Waterworks","Lot 90 & Lot 78 wells","EMERGENCY BACKUP","GW","GW","Disinfection","TREATMENT FACILITY",175,NA,NA,"Cascades Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8726","Not completed by 2019",NA,NA,0,NA,NA,NA,"Sometime in the 1960 or 1970's the community stopped using the surface water for drinking and moved to wells.",45599337.8799,30201.7305,75826,NA,4559.93378798735,393.640600973596,239.79124806999,8.63,5.26,153.849352903606,3.37
"83","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f6b",99,"340.138","Teetzel Community Watershed","Teetzel Creek","CR","PD26605","Forest Practices Code",1995-06-15,"DESIGNATED","Teetzel Creek Water System Users",1,"Waterworks","Teetzel Creek Water Users Association","PRIMARY","SW","SW","Disinfection","POE/POU",14,NA,NA,"Selkirk Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Some POE/POU systems",7013059.3923,11613.0508,75827,NA,701.305939225034,20,0,2.85,0,20,2.85
"84","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f6a",100,"900.012","Community Creek Community Watershed","Community Creek","CR","PD44779","Forest Practices Code",1999-10-22,"DESIGNATED","Heffley Creek Water Works District/Irrigation District, other domestic and commercial users",2,"Multiple User Groups",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",21,NA,NA,"Sunshine Coast Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"21 current domestic licenses on this POD",804742.0969,3862.6366,75828,NA,80.4742096874813,0,0,0,0,0,0
"85","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f69",101,"460.012","Two Mile Community Watershed","Two Mile Creek","CR","PD34464","Forest Practices Code",1995-06-15,"DESIGNATED","Village of Hazelton and Gitanmaax Band",1,"Waterworks","Village of Hazleton/Gitanmaax Community Water System","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",453,NA,NA,"Skeena Stikine Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,NA,21578788.7785,22959.5239,75829,NA,2157.87887785037,51.3709675297922,26,2.38,1.2,25.3709675297922,1.18
"86","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f68",102,"930.004","China Community Watershed","China Creek","CR","PD29548","Forest Practices Code",1995-06-15,"DESIGNATED","City of Port Alberni",1,"Waterworks","China Creek Water System","PRIMARY","SW","SW","Disinfection x2","TREATMENT FACILITY",6900,"China Creek, Bainbridge Lake","PD29638, PD29548","South Island Natural Resource District","Vancouver Island","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8687","Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_report_china_creek.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_china_creek_2011.pdf",2011,"MOE Report",NA,"No","Amount of water extracted is a total amount for China and McFarland CW.  China Creek System is gravity fed.  China Creek feeds into the same water treatment plant as McFarland (Bainbridge Lake).",57504164.2044,37080.5827,75830,NA,5750.41642043728,110.513404757386,0,1.92,0,110.513404757386,1.92
"87","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f67",103,"930.016","Mercantile Community Watershed","Mercantile Creek","CR","PD29529","Forest Practices Code",1995-06-15,"DESIGNATED","District  Of Ucluelet",1,"Waterworks","Mercantile Creek Water Supply","PRIMARY","SW & GW","SW and GW","Disinfection x2","TREATMENT FACILITY",988,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_report_mercantile_2012.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_mercantile_creek_2012.pdf",2012,"MOE Report","Forestry, water quantity, debris/slides","Yes","Treatment facility was upgraded in 2014",11425286.0501,16635.8052,75831,NA,1142.52860501223,1,0,0.09,0,1,0.09
"88","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f66",76,"930.001","Andrews Community Watershed","Andrews Creek","OTH","PD29474","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Kyuquot / Checleseht First Nations",0,"None",NA,"OTHER SOURCE","GW (GUDI non-CW)","GW - potentially GUDI (well is beside Clanninick creek –  pumphouse is on bank). However, this is a different creek than the community watershed source.","Disinfection","WELL",75,NA,NA,"Campbell River Natural Resource District","Vancouver Island","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,NA,1259051.0571,5635.6162,75804,NA,125.905105712516,16.1796979310229,15.1436582944319,12.85,12.03,1.03603963659098,0.82
"89","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f65",77,"920.065","Stocking Lake Community Watershed","Stocking Creek","CR","PD30747","Forest Practices Code",1999-07-16,"DESIGNATED","Town of Ladysmith",1,"Waterworks","Stocking Lake system","PRIMARY","SW","SW","Disinfection","INTAKE",3350,"Holland Creek, Stocking Creek","PD30734, PD30747","South Island Natural Resource District","Vancouver Island","No",NA,"Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/holland_creek_and_stocking_lake_watersheds.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_report_holland_stocking.pdf",1996,"MOE Report",NA,"No","Actual amount extracted is a combination of water coming from both Holland and Stocking.  ",1901210.9927,5432.0199,75805,NA,190.12109927505,0,0,0,0,0,0
"90","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f64",78,"910.001","Gibbs Community Watershed","Gibbs Brook","GW","PD40227","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Noosatsum Waterworks District ",0,"None","Gibbs Brook System","OTHER SOURCE","GW","GW ","NA","NA",82,NA,NA,"North Island - Central Coast Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"This supplier relies on groundwater only (not GUDI). There is no intake to maintain presently, but they will keep the license/option to use it in the future if necessary.",245552.7951,2864.8696,75806,NA,24.5552795125186,0,0,0,0,0,0
"91","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f63",79,"910.003","Martin Community Watershed","Martin River","R","PD40099","Forest Practices Code",1995-06-15,"DESIGNATED","Ocean Falls Improvement District",1,"Waterworks","Martin Valley","PRIMARY","SW","SW","Disinfection x2 & filtration","TREATMENT FACILITY",76,NA,NA,"North Island - Central Coast Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,"Water quantity","No",NA,22041058.0248,23330.9015,75807,NA,2204.10580247797,511.719557678764,511.719557678762,23.22,23.22,1.93267624126747e-12,0
"92","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f62",80,"500.002","Gitzyon Community Watershed","Gitzyon Creek","CR","PD36081","Forest Practices Code",1995-06-15,"DESIGNATED","Gitlaxtaamiks Village",1,"Waterworks","Gitkat’aamiks Water Treatment Plant","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",274,NA,NA,"Coast Mountains Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,"Turbidity","No",NA,21615137.8123,24429.3177,75808,NA,2161.51378123129,0,0,0,0,0,0
"93","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f61",81,"420.001","Drake Community Watershed","Drake Creek","OTH","PD34619","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Regional District of Kitimat Stikine",0,"None",NA,"OTHER SOURCE","Unknown","Not in use","NA","NA",0,NA,NA,"Coast Mountains Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Drake Community watershed is in Terrace.  The regional district inherited several CWs a few years back (2010), including Drake.  Drake is no longer used and the area relies on the Thornhill system now.  No plans of it being used into the future.  This license may be used at a later date for irrigation purposes.",1443388.0419,5522.2703,75809,NA,144.338804193731,0,0,0,0,0,0
"94","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f60",82,"MEA.003","Ginnard Community Watershed","Ginnard Creek","CR","PD30222","Forest Practices Code",1995-06-15,"DESIGNATED","District of Tofino",1,"Waterworks","District of Tofino","PRIMARY","SW","SW","Disinfection & DAF & Filtration","TREATMENT FACILITY",795,"Close Creek, Meares Creek, Sharp Creek, Number One Creek, Ginnard Creek","PD29567, PD71920, PD29490, PD29562, PD30222","South Island Natural Resource District","Vancouver Island","No",NA,"Not completed by 2019",NA,NA,0,NA,"Water quantity","No forest or range activity in watershed","The Ginnard creek source is treated at the Ahkmahksis Water Treatment Plant on Sharp Road (DAF, Ultra High Filtration and Sodium Hypochloride (Chlorine)).  The total amount of water extracted is for both plants in Tofino combined.",2656481.5624,7131.784,75810,NA,265.648156242867,139.631252074872,0,52.56,0,139.631252074872,52.56
"95","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f5f",83,"128.006","Bastion Community Watershed","Bastion Creek","CR","PD52827","Forest Practices Code",1999-10-01,"DESIGNATED","The Owners of Strata Plan K46",1,"Waterworks","The Owners, Strata Plan K46, Totem Pole Resort and Marina Water System ","YES","SW","SW",NA,"NA",0,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,NA,11346101.4794,16251.2846,75811,NA,1134.61014794382,152.688942726698,52,13.46,4.58,100.688942726698,8.87
"96","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f5e",84,"310.012","Chute Community Watershed","Chute Creek","CR","PD55511","Forest Practices Code",1995-06-15,"DESIGNATED","Regional District of Okanagan-Similkameen",1,"Waterworks",NA,"EMERGENCY BACKUP","SW (other)","SW (intake to Okanagan lake)","Unknown","NOT SPECIFIED",909,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=9103","Not completed by 2019",NA,NA,0,NA,NA,NA,"Chute Creek flows diverted into Robinson Community Watershed to fill Naramata and Elinor Lakes.",18888024.5776,23769.0022,75812,NA,1888.80245775584,115.302133742316,65.0338957603247,6.1,3.44,50.268237981991,2.66
"97","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f5d",85,"100.034","Nevin Community Watershed","Nevin Creek","CR","PD42228","Forest Practices Code",1995-06-15,"DESIGNATED","City of Chilliwack",1,"Waterworks",NA,"EMERGENCY BACKUP","GW","GW - primary, SW - emergency use","Disinfection","WELL",19000,NA,NA,"Chilliwack Natural Resource District","Fraser","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8710","Not completed by 2019",NA,NA,0,NA,"Forestry",NA,NA,5793586.3499,11810.9442,75813,NA,579.358634993723,228.829967019388,224.45578708796,39.5,38.74,4.37417993142867,0.76
"98","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f5c",86,"900.059","Silver Community Watershed","Silver Creek","CR","PD44671","Forest Practices Code",1995-06-15,"DESIGNATED","Lang Bay Waterworks Ltd. ",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",135,NA,NA,"Sunshine Coast Natural Resource District","Vancouver Coastal","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8977","Not completed by 2019",NA,NA,0,NA,NA,NA,"Water system still in use.",51420.4546,936.4685,75814,NA,5.14204545625011,0,0,0,0,0,0
"99","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f5b",87,"360.001","Bridge Community Watershed","Bridge Creek","CR","PD28772","Forest Practices Code",1995-06-15,"DESIGNATED","City of Revelstoke",1,"Waterworks",NA,"EMERGENCY BACKUP","SW (other CW)","SW (other CW)","NONE","NO TREATMENT",0,NA,NA,"Selkirk Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"This system is not used daily but it is an important part of their system because it is an emergency backup source. Greeley Creek is identified as the primary source.  ",4252988.9721,10558.106,75815,NA,425.298897206305,0,0,0,0,0,0
"100","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f5a",88,"900.082","Newman Creek Community Watershed","Newman Creek","CR","PD60218","Forest Practices Code",1995-06-15,"DESIGNATED","Pacific Asset Management",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",0,NA,NA,"Chilliwack Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,NA,1806272.2566,5695.7206,75816,NA,180.627225662497,69.32293346183,38.9697311269164,38.38,21.57,30.3532023349136,16.8
"101","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f59",89,"300.034","Luxor Community Watershed","Luxor Creek","CR","PD24447","Forest Practices Code",1995-06-15,"DESIGNATED","Spur Valley Improvement District",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",100,NA,NA,"Rocky Mountain Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Water is used by the Spur Valley Resort and Campground as well as about 80 properties (domestic users).  The Spur Valley is a small settlement located in the Rocky Mountains near Radium, British Columbia. The water system serves a subdivision of about 80 properties, a campground and resort.",92875862.4091,57965.5396,75817,NA,9287.58624091394,772.448811848101,169.346102833494,8.32,1.82,603.102709014607,6.49
"102","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f58",90,"128.040","Duteau Community Watershed","Duteau Creek","CR","PD57662","Forest Practices Code",1995-06-15,"DESIGNATED","Regional District of North Okanagan, Village of Lumby",2,"Multiple User Groups","Greater Vernon Water.","PRIMARY","SW & GW","SW used for Greater Vernon (Lavington).","Disinfection & DAF & filtration","TREATMENT FACILITY",39363,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8768","Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/bessette_creek.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_bessette.pdf",1991,"MOE Report",NA,"Indirectly - due to access on logging roads","RDNO: Greater Vernon Water is a Regional Water System that relies on a number of sources to supply domestic, agriculture, commercial, industrial and institutional water. The two potable sources are Duteau Creek and Kalamalka Lake and they are integrated as one potable system. Duteau Creek, via the Duteau Creek Water Treatment Plant (DCWTP), supplies approximately 55% of the utility’s water. Duteau is often used in the winter/early spring to supply the whole system if the water quality degrades in Kal Lake. Under normal operational conditions, the DCWTP provides water to the District of Coldstream, Electoral Areas “B” and “C”, a small portion of “D” and Spallumcheen.   They do not have filtration but enhanced treatment at Duteau (Dissolved Air Floatation) and UV disinfection at Kalamalka, then chlorination on both.  Although the RDNO still uses the community watershed, the Village of Lumby has transition to a GW source. ",212753642.4317,93346.1852,75818,NA,21275.3642431632,1879.68534859859,815.522823222366,8.84,3.83,1064.16252537623,5
"103","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f57",91,"119.005","Peq Community Watershed","Peq Creek","GW","PD43733","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Lil'wat First Nation",0,"None","Peq Creek Pumphouse","OTHER SOURCE","GW","GW","Disinfection","WELL",305,NA,NA,"Sea to Sky Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"They do not use surface water, only groundwater. Groundwater moves from pumphouse to booster station (where it is chlorinated) then into reservoir. ",8238564.1332,14417.8817,75819,NA,823.856413318612,66.7622827303027,7.09366372893527,8.1,0.86,59.6686190013675,7.24
"104","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f56",128,"900.064","Sunshine Community Watershed","Sunshine Creek","CR","PD45556","Forest Practices Code",1995-06-15,"DESIGNATED","Group of Water Users",1,"Several Water Users",NA,"PRIMARY","SW","SW","unknown","NOT SPECIFIED",9,NA,NA,"Chilliwack Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"This POD is near Indian Arm, North Vancouver. There are 9 current domestic licenses on this POD and 11 in the watershed. ",1386200.3042,5773.3369,75856,NA,138.620030424985,8.7658402046239,8.7658402046239,6.32,6.32,0,0
"105","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f55",129,"930.014","Mcfarland Community Watershed","Bainbridge Lake","LK","PD29638","Forest Practices Code",1995-06-15,"DESIGNATED","City of Port Alberni",1,"Waterworks","Bainbridge Lake Water System","PRIMARY","SW","SW","Disinfection x2","TREATMENT FACILITY",6900,"China Creek, Bainbridge Lake","PD29638, PD29548","South Island Natural Resource District","Vancouver Island","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=9156","Not completed by 2019",NA,NA,0,NA,NA,"No","Amount of water extracted is a total amount for China and McFarland CW.  McFarland Lake system requires pumping and more chlorine than China Creek as it has higher organics.",12365162.8515,18296.3833,75857,NA,1236.51628514983,0,0,0,0,0,0
"106","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f54",130,"470.001","Dale Community Watershed","Dale Creek","GUI","PD35685","Forest Practices Code",1995-06-15,"DESIGNATED","Kispiox Band",1,"Waterworks","Kispiox water system","PRIMARY - GUDI in CW","GW (GUDI)","GW (possibly GUDI) 400m from creek","Disinfection & Iron/Manganese","TREATMENT FACILITY",280,NA,NA,"Skeena Stikine Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,"Pipeline, fracking, mining","No","Current source is from a GUDI well in the CW. Surface water is not used as a backup or emergency supply. They are currently decommissioning the intake.",9082425.0876,13660.9033,75858,NA,908.242508762439,114.229572032885,0,12.58,0,114.229572032885,12.58
"107","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f53",131,"400.012","Gossen Community Watershed","Skovsen Brook","BR","PD62973","Forest and Range Practices Act",2006-05-17,"DESIGNATED","Group of Water Users",1,"Several Water Users",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",4,NA,NA,"Coast Mountains Natural Resource District","Northern","No",NA,"In the Kalum Sustainable Resource Management Plan","https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/land-water-use/crown-land/land-use-plans-and-objectives/skeena-region/kalum-srmp/kalum_srmp_plan.pdf",NA,2006,"Established under Land Act (Kalum Sustainable Resource Management Plan)",NA,NA,"4 current domestic licenses still meets criteria for allocation at an allocation of 2842 gallons/day",899123.2184,4364.333,75859,NA,89.9123218437553,26.4364215636626,0,29.4,0,26.4364215636626,29.4
"108","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f52",132,"FLO.001","Anderson Community Watershed","Anderson Creek","CR","PD30262","Forest Practices Code",1995-06-15,"DESIGNATED","Ahousaht First Nation",1,"Waterworks",NA,"YES","SW","SW",NA,"NOT SPECIFIED",863,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,NA,2629425.883,7654.7573,75860,NA,262.942588303799,238.343156306559,0,90.64,0,238.343156306559,90.64
"109","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f51",133,"310.028","Kelowna Community Watershed","Kelowna Creek","CR","PD58192","Forest Practices Code",1995-06-15,"DESIGNATED","Glenmore-Ellison Improvement District",1,"Waterworks",NA,"PRIMARY","SW & GW","SW (supplemented with GW)","Disinfection","INTAKE",6000,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=9267","Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/tributaries_to_okanagan_lake_near_kelowna.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_kelowna_tributaries.pdf",1990,"MOE Report",NA,NA,"Information source: Creek Source Assessment Report",76565497.7495,55109.1207,75861,NA,7656.5497749502,944.049818842013,261.624703809387,12.33,3.42,682.425115032626,8.91
"110","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f50",134,"128.042","Glanzier Community Watershed","Glanzier Creek","CR","PD60251","Forest Practices Code",1995-06-15,"DESIGNATED","Stepney Improvement District",1,"Waterworks","Stepney Water District","PRIMARY","SW","SW","NONE","NO TREATMENT",45,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=9338","Not completed by 2019",NA,NA,0,NA,"Turbidity",NA,"Forest practices and referrals have been excellent ",8495213.2843,15438.0781,75862,NA,849.521328431176,18,8,2.12,0.94,10,1.18
"111","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f4f",135,"129.012","Nelson Community Watershed","Nelson Creek","GUI","PD48693","Forest Practices Code",1995-06-15,"DESIGNATED","Group of Water Users",1,"Several Water Users",NA,"PRIMARY - GUDI in CW","GW (GUDI)","GW - GUDI - well approx 10 feet from creek","NONE","NO TREATMENT",4,NA,NA,"Thompson Rivers Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"The users have an intake next to Posby Lake that takes in both groundwater and surface water.",12003264.6529,19146.8415,75863,NA,1200.32646529364,45.0191245666185,30,3.75,2.5,15.0191245666185,1.25
"112","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4f4e",136,"300.063","Heart Community Watershed","Heart Creek","CR","PD25255","Forest Practices Code",1995-06-15,"DESIGNATED","Regional District of Central Kootenay",1,"Waterworks","Fauquier System","PRIMARY","SW","SW","Disinfection & basic filtration","INTAKE",94,NA,NA,"Selkirk Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Turbidity",NA,NA,26279688.9031,26770.3359,75864,NA,2627.96889031192,198.360887773097,73.2957192783054,7.55,2.79,125.065168494791,4.76
